sales_id,shop_id,week_no,start_date,end_date,sales_amount,sales_target,item_sold,transactions,staff_hours,staff_hours_target,labour_cost,labour_cost_target,total_tax,sales_status
94442,17,28,2014-06-30,2014-07-06,13090.50,105000.00,2390.00,1358,17:18:02,00:00:00,251,19600.00,1622.58,1
94444,20,28,2014-06-30,2014-07-06,22813.50,175000.00,4065.00,2150,00:00:00,00:21:00,0,31500.00,2897.22,1
94446,27,28,2014-06-30,2014-07-06,25219.90,28000.00,4058.00,1961,00:00:00,00:00:00,0,4100.00,3162.39,1
94448,28,28,2014-06-30,2014-07-06,13802.00,17000.00,2179.00,1250,00:00:00,00:14:00,0,3100.00,1734.31,1
94450,30,28,2014-06-30,2014-07-06,29563.70,30000.00,4625.00,2399,00:00:00,00:14:00,0,5200.00,3768.03,1
94452,31,28,2014-06-30,2014-07-06,20539.85,24000.00,3370.00,1708,00:00:00,00:14:00,0,4200.00,2569.75,1
100496,17,29,2014-07-07,2014-07-13,11904.10,105000.00,2233.00,1254,47:41:59,00:00:00,688,19600.00,1462.52,1
100498,20,29,2014-07-07,2014-07-13,20183.20,175000.00,3532.00,1787,00:00:00,00:21:00,0,31500.00,2566.04,1
100500,27,29,2014-07-07,2014-07-13,22728.70,28000.00,3738.00,1751,00:00:00,00:00:00,0,4100.00,2873.29,1
100502,28,29,2014-07-07,2014-07-13,14976.90,17000.00,2375.00,1294,00:00:00,00:14:00,0,3100.00,1880.72,1
100504,30,29,2014-07-07,2014-07-13,30059.70,30000.00,4668.00,2385,00:00:00,00:14:00,0,5200.00,3834.28,1
100506,31,29,2014-07-07,2014-07-13,19960.90,24000.00,3248.00,1612,00:00:00,00:14:00,0,4200.00,2484.62,1
106550,17,30,2014-07-14,2014-07-20,13489.40,105000.00,2532.00,1405,61:51:20,00:00:00,893,19600.00,1684.12,1
106552,20,30,2014-07-14,2014-07-20,22063.20,175000.00,3886.00,1897,00:00:00,00:21:00,0,31500.00,2796.21,1
106554,27,30,2014-07-14,2014-07-20,24215.10,28000.00,3895.00,1820,00:00:00,00:00:00,0,4100.00,3054.71,1
106556,28,30,2014-07-14,2014-07-20,14653.60,17000.00,2288.00,1328,00:00:00,00:14:00,0,3100.00,1839.25,1
106558,30,30,2014-07-14,2014-07-20,33032.00,30000.00,5113.00,2549,00:00:00,00:14:00,0,5200.00,4209.83,1
106560,31,30,2014-07-14,2014-07-20,21693.50,24000.00,3526.00,1731,00:00:00,00:14:00,0,4200.00,2707.54,1
112604,17,31,2014-07-21,2014-07-27,14283.10,105000.00,2587.00,1462,82:07:18,00:00:00,1183,19600.00,1766.70,1
112606,20,31,2014-07-21,2014-07-27,22025.90,175000.00,3875.00,2036,00:00:00,00:21:00,0,31500.00,2813.87,1
112608,27,31,2014-07-21,2014-07-27,25206.30,28000.00,4098.00,1980,00:00:00,00:00:00,0,4100.00,3159.21,1
112610,28,31,2014-07-21,2014-07-27,15592.10,17000.00,2469.00,1404,00:00:00,00:14:00,0,3100.00,1956.28,1
112612,30,31,2014-07-21,2014-07-27,28898.50,30000.00,4491.00,2407,00:00:00,00:14:00,0,5200.00,3680.05,1
112614,31,31,2014-07-21,2014-07-27,19169.58,24000.00,3127.00,1606,00:00:00,00:14:00,0,4200.00,2406.06,1
118658,17,32,2014-07-28,2014-08-03,12854.20,90000.00,2378.00,1374,00:00:00,00:00:00,0,16800.00,1591.17,1
118660,20,32,2014-07-28,2014-08-03,20901.00,150000.00,3683.00,1981,00:00:00,00:18:00,0,27000.00,2660.82,1
118662,27,32,2014-07-28,2014-08-03,24380.50,28000.00,3910.00,1890,00:00:00,00:00:00,0,4100.00,3080.20,1
118664,28,32,2014-07-28,2014-08-03,12958.30,17000.00,2060.00,1185,00:00:00,00:12:00,0,3100.00,1628.12,1
118666,30,32,2014-07-28,2014-08-03,28007.90,30000.00,4463.00,2295,00:00:00,00:12:00,0,5200.00,3554.97,1
118668,31,32,2014-07-28,2014-08-03,17668.50,24000.00,2905.00,1459,00:00:00,00:12:00,0,4200.00,2220.93,1
124514,17,33,2014-08-04,2014-08-10,13612.80,105000.00,2486.00,1402,86:49:29,00:00:00,1250,19600.00,1694.17,1
124516,20,33,2014-08-04,2014-08-10,24301.00,175000.00,4241.00,2191,00:00:00,00:21:00,0,31500.00,3080.33,1
124518,27,33,2014-08-04,2014-08-10,28604.40,28000.00,4592.00,2198,00:00:00,00:00:00,0,4100.00,3606.10,1
124520,28,33,2014-08-04,2014-08-10,13974.10,17000.00,2229.00,1247,00:00:00,00:14:00,0,3100.00,1748.71,1
124522,30,33,2014-08-04,2014-08-10,28659.20,30000.00,4510.00,2358,00:00:00,00:14:00,0,5200.00,3660.73,1
124524,31,33,2014-08-04,2014-08-10,19644.95,24000.00,3266.00,1642,00:00:00,00:14:00,0,4200.00,2464.18,1
129614,17,34,2014-08-11,2014-08-17,12361.50,105000.00,2239.00,1301,96:19:04,00:00:00,1388,19600.00,1520.59,1
129616,20,34,2014-08-11,2014-08-17,24209.70,175000.00,4188.00,2170,00:00:00,00:21:00,0,31500.00,3081.21,1
129618,27,34,2014-08-11,2014-08-17,28109.40,28000.00,4554.00,2172,00:00:00,00:00:00,0,4100.00,3530.27,1
129620,28,34,2014-08-11,2014-08-17,14848.70,17000.00,2421.00,1385,00:00:00,00:14:00,0,3100.00,1871.04,1
129622,30,34,2014-08-11,2014-08-17,31442.30,30000.00,4798.00,2457,00:00:00,00:14:00,0,5200.00,3982.35,1
129624,31,34,2014-08-11,2014-08-17,21571.20,24000.00,3502.00,1752,00:00:00,00:14:00,0,4200.00,2711.65,1
135668,17,35,2014-08-18,2014-08-24,12250.40,105000.00,2239.00,1298,117:20:54,00:00:00,1689,19600.00,1507.94,1
135670,20,35,2014-08-18,2014-08-24,24783.30,175000.00,4337.00,2212,00:00:00,00:21:00,0,31500.00,3160.70,1
135672,27,35,2014-08-18,2014-08-24,29168.60,28000.00,4650.00,2287,00:00:00,00:00:00,0,4100.00,3690.25,1
135674,28,35,2014-08-18,2014-08-24,15345.40,17000.00,2458.00,1404,00:00:00,00:14:00,0,3100.00,1924.98,1
135676,30,35,2014-08-18,2014-08-24,30133.30,30000.00,4696.00,2489,00:00:00,00:14:00,0,5200.00,3838.68,1
